customer_id,first_name,last_name,email,country,signup_date,_ingestion_timestamp
CUST-1072,Drew,Patel,drew.patel72@example.com,AU,2024-01-22,2024-01-22 15:00:00
CUST-1073,Sam,Park,sam.park73@example.com,US,2024-01-19,2024-01-19 15:00:00
CUST-1074,Drew,Patel,drew.patel74@example.com,CA,2024-01-14,2024-01-15 18:00:00
CUST-1075,Parker,Khan,parker.khan75@example.com,CA,2024-01-07,2024-01-08 18:00:00
CUST-1076,Taylor,Khan,taylor.khan76@example.com,GB,2024-01-13,2024-01-13 08:00:00
CUST-1077,Quinn,Nguyen,quinn.nguyen77@example.com,IN,2024-01-30,2024-02-01 00:00:00
CUST-1078,Alex,Wilson,alex.wilson78@example.com,IN,2024-01-20,2024-01-21 12:00:00
CUST-1079,Sam,Cohen,sam.cohen79@example.com,GB,2024-01-07,2024-01-08 08:00:00
CUST-1080,Jordan,Park,jordan.park80@example.com,DE,2024-01-12,2024-01-12 04:00:00
CUST-1081,Riley,Khan,riley.khan81@example.com,GB,2024-01-06,2024-01-07 04:00:00
CUST-1082,Drew,Rao,drew.rao82@example.com,US,2024-01-21,2024-01-22 09:00:00
CUST-1083,Skyler,Silva,skyler.silva83@example.com,IN,2024-01-18,2024-01-18 19:00:00
CUST-1084,Parker,Garcia,parker.garcia84@example.com,IN,2024-01-09,2024-01-09 07:00:00
CUST-1085,Reese,Cohen,reese.cohen85@example.com,GB,2024-01-05,2024-01-05 17:00:00
CUST-1086,Drew,Smith,drew.smith86@example.com,DE,2024-01-23,2024-01-23 21:00:00
CUST-1087,Skyler,Martinez,skyler.martinez87@example.com,JP,2024-01-28,2024-01-28 16:00:00
CUST-1088,Casey,Park,casey.park88@example.com,IN,2024-01-30,2024-01-30 03:00:00
CUST-1089,Skyler,Brown,skyler.brown89@example.com,US,2024-01-27,2024-01-27 17:00:00
CUST-1090,Alex,Nguyen,alex.nguyen90@example.com,GB,2024-01-25,2024-01-25 08:00:00
CUST-1091,Jordan,Davis,jordan.davis91@example.com,AU,2024-01-15,2024-01-16 11:00:00
CUST-1092,Morgan,Lee,morgan.lee92@example.com,BR,2024-01-04,2024-01-04 04:00:00
CUST-1093,Morgan,Lee,morgan.lee93@example.com,BR,2024-01-27,2024-01-27 23:00:00
CUST-1094,Avery,Garcia,avery.garcia94@example.com,CA,2024-01-02,2024-01-02 19:00:00
CUST-1095,Parker,Park,parker.park95@example.com,CA,2024-01-26,2024-01-26 02:00:00
CUST-1096,Taylor,Martinez,taylor.martinez96@example.com,IN,2024-01-08,2024-01-09 18:00:00
CUST-1097,Riley,Rao,riley.rao97@example.com,BR,2024-01-18,2024-01-19 02:00:00
CUST-1098,Parker,Park,parker.park98@example.com,BR,2024-01-08,2024-01-08 10:00:00
CUST-1099,Parker,Brown,parker.brown99@example.com,CA,2024-01-01,2024-01-01 11:00:00
CUST-1100,Cameron,Park,cameron.park100@example.com,DE,2024-01-14,2024-01-15 18:00:00
